Date,MKTRF,SMB,HML,RMW,CMA,REV,MOM
6/30/1963,100,100,100,100,100,100,100
7/31/1963,99.61,99.53,99.17,100.66,98.85,98.95,101
8/31/1963,104.660227,98.743713,100.826139,101.06264,98.4546,100.51341,102.0403
9/30/1963,103.0170614,98.26974318,101.0076261,100.2945639,98.69089104,100.4229479,102.2035645
10/31/1963,105.6233931,97.00206349,100.9066184,103.0526644,96.48021508,100.2120597,105.4127564
11/30/1963,104.7255942,96.18724616,102.6321216,102.5889275,98.62207586,100.2120597,104.6221607
12/31/1963,106.6420726,94.3693072,102.5089631,102.6607397,98.32620963,100.1920173,106.4007375
1/31/1964,109.0308551,94.44480265,104.1388556,102.8865933,99.80110277,100.2320941,107.5285853
2/29/1964,110.7099302,94.74702602,107.0859852,102.9483253,100.6494121,101.565181,107.7866539
3/31/1964,112.2709402,96.08295909,110.6412399,100.8790639,103.5984399,105.50591,108.5519391
4/30/1964,112.3832112,94.62249811,110.0327131,99.51719659,102.4795768,102.8471611,107.9006275
5/31/1964,113.9790528,93.97906512,112.2113608,99.25845187,102.7255278,102.7648833,110.6413034
6/30/1964,115.4265867,94.06364628,112.974398,98.84156638,102.8693435,102.2818884,111.1391893
7/31/1964,117.4350094,94.5621836,113.7426239,98.97994457,104.7621394,102.2716602,110.7168604
8/31/1964,115.7439452,94.84587016,113.8449923,99.03933254,105.1392831,101.5864401,110.5064983
9/30/1964,118.8574573,94.55184796,115.7234347,98.56394374,105.749091,105.3248211,110.075523
10/31/1964,119.5587163,95.38390422,117.0426818,98.2781083,106.2566866,104.5664824,110.1635834
11/30/1964,119.5587163,95.12636768,114.7252367,98.86777695,106.0866759,103.1757482,111.3533501
12/31/1964,119.594584,94.57463475,111.7997432,99.98498283,104.3574631,101.5249362,110.585012
1/31/1965,123.8282322,96.92954315,112.0009827,100.8248567,104.4722563,103.7381798,109.1695238
2/28/1965,124.3730765,100.137911,112.2473849,101.2281561,103.7513977,106.7673346,109.4970324
3/31/1965,122.7064772,102.1707106,113.4708814,100.9244716,104.5087829,107.4506456,109.6065295
4/30/1965,126.5226487,103.376325,114.2765247,101.1868753,102.1050809,107.6440567,112.3905353
5/31/1965,125.5484243,103.4280132,112.4138173,100.8023651,102.8198165,107.6655856,112.9974442
6/30/1965,118.6307061,98.9806086,113.0320933,100.923328,103.2413777,105.6414725,109.4719239
7/31/1965,120.3271252,100.0495992,115.4961929,99.50030906,103.2207295,107.321172,113.9602728
8/31/1965,123.6120557,102.7709483,114.3874295,101.5500154,102.446574,109.1241676,116.9004479
9/30/1965,127.1473605,103.4081282,114.273042,100.7173053,103.2866359,111.3721255,120.8399929
10/31/1965,130.4531919,106.9446861,116.0099923,101.9460564,102.5016575,112.4190235,125.0089727
11/30/1965,130.4140559,112.4951153,116.2536133,100.8654282,101.5791425,113.5656975,130.5343693
12/31/1965,131.7312379,115.4649864,118.5205587,99.57435075,101.1220364,113.315853,130.6518502
1/31/1966,132.6797028,120.9149338,122.6569262,96.75639662,101.051251,115.0269224,137.7201153
2/28/1966,131.0742784,126.7913995,122.9880999,96.61126202,99.59611296,116.5682831,144.0276966
3/31/1966,127.784314,127.0703406,120.4422463,97.86720843,99.58615335,117.3492906,145.9576677
4/30/1966,130.5188983,131.3399041,119.7918581,98.26846399,98.67991935,119.1329998,154.9778516
5/31/1966,123.1315287,124.536497,117.9350843,99.89972049,97.17998458,118.1322826,147.7093904
6/30/1966,121.3584347,126.2052861,118.5247598,99.95966032,97.95742446,119.8215743,152.5542584
7/31/1966,119.3802922,125.5742597,119.6625974,99.50984185,99.69127087,119.3303058,150.4337542
8/31/1966,109.9373111,121.7693596,120.2250117,99.55959677,100.4588937,121.9675056,147.259602
9/30/1966,108.7719756,120.3324811,120.8622042,97.91686342,102.970366,119.9550417,144.7120109
10/31/1966,112.9705738,112.4747701,124.3309495,94.35268959,107.3774977,120.0390103,137.2882847
11/30/1966,114.5521619,116.2651699,118.7857891,98.28719675,100.3657471,119.8589518,145.1549034
12/31/1966,114.7010797,118.4858346,117.3366025,98.95554969,100.2352716,120.2544863,146.7080609
1/31/1967,124.0492177,129.1495597,119.9414751,99.5690741,97.25828402,120.9038605,136.8052668
2/28/1967,125.0168016,133.0627914,117.3387451,101.5007141,96.34405616,123.5758358,141.6755343
3/31/1967,130.0049719,135.5909844,117.7024952,102.4142206,94.88926091,122.5130837,143.6873269
4/30/1967,135.0621654,136.214703,114.5951493,104.9028861,91.33091362,118.1271153,144.6069257
5/31/1967,129.2139736,139.4429914,115.5119105,103.0670856,92.80134133,117.7727339,145.5757921
6/30/1967,132.3280304,148.4510087,116.6208248,102.4074563,90.58338927,117.301643,154.3540124
7/31/1967,138.3886542,153.6171038,119.7112767,102.9297343,93.04725746,115.4130865,152.7024245
8/31/1967,137.1569951,154.7845938,121.4590613,103.3620392,94.35922379,115.7477845,150.5493203
9/30/1967,141.4225777,158.5922948,118.4590225,103.5894357,93.46281117,114.7986526,154.388328
10/31/1967,137.05262,159.3376786,114.4432617,104.4285101,91.07950948,115.2234077,160.0543796
11/30/1967,137.5597147,159.2420759,112.4862819,105.7756379,88.99378872,112.8498055,162.1190811
12/31/1967,141.755286,168.3984953,112.0475854,105.0986738,89.02048685,114.9375269,167.3555274
1/31/1968,136.0000214,175.9427479,117.3698457,100.2851545,94.76230825,121.8222847,159.5902309
2/29/1968,130.9000206,170.8228139,118.7430729,100.1447553,97.12188973,125.0262108,154.1482041
3/31/1968,131.1618206,168.2263072,118.0424888,101.316449,96.004988,121.950566,159.050117
4/30/1968,143.0319654,178.7404514,116.8266511,104.1431779,92.49120544,115.9749883,167.241198
5/31/1968,146.2930942,191.3059051,117.807995,104.5493363,90.8078655,113.8178535,173.4792947
6/30/1968,147.3025166,190.8085097,118.5973086,103.1588301,93.24151629,116.8795538,170.1484922
7/31/1968,143.2958881,188.2707566,125.0964411,100.0640652,96.60753503,124.2079018,168.7192449
8/31/1968,145.216053,192.5821569,126.3474055,99.4636808,96.99396517,125.1146195,171.8911667
9/30/1968,151.06826,197.9166826,126.6380045,97.44456808,97.88630965,125.2147112,170.7394959
10/31/1968,151.7027467,197.0656409,130.2978428,96.1777887,100.636915,128.5829869,168.1442555
11/30/1968,159.9402058,201.8149228,129.1251623,96.62020653,98.1008647,125.8184527,171.0531511
12/31/1968,153.6385617,209.0802601,129.1509873,94.90036685,99.71952896,124.5602682,171.2413096
1/31/1969,151.7180797,208.1184909,131.333639,93.4389012,101.1255743,127.4500664,170.9844476
2/28/1969,142.8577438,199.544009,132.5287751,95.46652536,101.9345789,130.3941629,166.7782302
3/31/1969,146.6291883,198.7258786,131.9191427,94.18727392,101.5064537,130.3680841,173.3659703
4/30/1969,148.7699744,197.0963264,131.9587185,94.54518556,101.5673576,130.4593417,175.3943522
5/31/1969,148.6212044,196.741553,132.9220171,93.62809726,103.0807112,132.2335888,178.3409773
6/30/1969,137.950202,185.9404418,131.4731671,97.6166542,101.4829602,134.1509758,174.3639735
7/31/1969,128.2936878,179.6742489,133.3400861,98.98328736,103.4821745,138.16209,177.2235427
8/31/1969,134.2978324,180.949936,128.1798248,100.1314935,99.26010176,131.7375528,181.0161265
9/30/1969,130.295757,183.2841902,124.0908884,103.5559906,98.43624291,130.275266,185.5958345
10/31/1969,136.8887223,190.4139452,120.132389,103.5663462,96.43798718,127.9303112,177.5780944
11/30/1969,131.7006397,185.8249691,118.7869063,105.0577016,96.74658874,127.2778666,183.9709058
12/31/1969,128.2369129,178.9494453,115.1995417,107.6526268,94.77295833,127.3924167,193.2614366
1/31/1970,117.849723,184.4789831,118.7016078,105.7471753,98.4880583,132.6027665,194.4789836
2/28/1970,123.8954137,179.7194254,123.4971527,103.3361397,101.5017929,134.8172327,194.7123584
3/31/1970,122.5821224,175.4061592,128.7457817,102.4371153,105.9983223,141.8007654,194.1476926
4/30/1970,109.0980889,164.3555711,136.9855117,101.7815177,112.2310237,151.4432174,192.7304144
5/31/1970,101.5485011,157.0910549,141.9169902,100.458358,116.2937867,157.4100802,187.4688741
6/30/1970,95.66884293,153.682179,143.151668,100.6492289,119.6663065,162.4629438,198.304575
7/31/1970,102.2986937,152.621772,144.525924,100.5787744,121.9399664,165.0948435,192.4744205
8/31/1970,106.8919051,154.9721472,146.014541,101.1520734,121.7570564,163.7575752,179.9635832
9/30/1970,111.3599867,168.1292826,137.8669296,101.3948384,114.536863,151.1482419,163.9108316
10/31/1970,108.820979,160.5634648,138.2391703,103.250364,117.2628403,152.2062796,179.6626625
11/30/1970,113.8267441,154.1409262,140.4924688,105.0572453,119.1273195,155.0981989,184.8549134
12/31/1970,120.3376338,158.7959822,141.9114427,105.2043255,119.460876,156.897338,180.8065908
1/31/1971,126.1619753,170.7691993,143.8698206,102.9003507,119.2936307,158.199586,168.6744686
2/28/1971,127.9408592,174.2699679,142.0139,103.569203,118.4347166,157.8199069,170.0407318
3/31/1971,133.2248166,178.0167722,136.2765384,105.6095163,115.2488227,154.4899069,167.9832389
4/30/1971,137.4213984,177.3581101,137.2577295,103.9620079,116.0786142,157.5333581,170.2006177
5/31/1971,131.9520267,175.2830202,135.3635728,105.4798532,116.4268501,156.4778846,171.7154032
6/30/1971,131.8200747,172.7414164,132.5750832,107.083147,114.4010229,154.9913447,176.3860621
7/31/1971,125.8881713,170.3057625,132.8004608,107.5971461,116.2543195,150.6050896,172.2057125
8/31/1971,130.659333,169.9992121,136.3462332,107.2313158,119.2769318,153.4063443,178.250133
9/30/1971,129.5487287,170.3222106,132.3103846,110.0086068,117.4162116,150.6296895,181.9755607
10/31/1971,123.8226749,167.5118941,131.74145,111.6367342,115.9602506,150.5393116,182.8126483
11/30/1971,123.2530906,162.6540492,129.5018453,114.3718342,115.5427937,149.1995118,185.5182755
12/31/1971,133.9884348,167.9728366,129.0485889,113.8800353,113.4283606,150.3035882,184.2567512
1/31/1972,137.3247468,178.6055171,131.6166558,112.1946108,113.7573028,154.8277262,184.6989674
2/29/1972,141.265967,180.3022696,127.9840361,114.0458219,113.1657648,152.7065863,189.6858396
3/31/1972,142.1559426,179.4187884,125.7699123,115.8477459,112.9507499,150.217469,195.2056975
4/30/1972,142.5681948,179.6879166,126.0591831,115.1642442,111.9454882,149.8869905,200.8666627
5/31/1972,144.3502973,174.0277473,122.6681911,117.8475711,109.8744967,147.4438326,207.2542226
6/30/1972,140.8425851,173.4186501,119.5892195,119.9099035,109.4789485,145.8956723,211.2127783
7/31/1972,139.7158444,168.6669791,120.5220154,121.2049305,108.8330227,145.4871644,217.0000084
8/31/1972,144.2705809,162.7130348,126.1744979,118.7565909,112.0435969,149.9536204,205.3905079
9/30/1972,142.6258963,159.0519915,126.767518,120.739826,109.8251337,147.9142512,209.0053809
10/31/1972,143.3675509,155.0279761,128.504233,120.5949382,109.7702211,148.3136196,210.5938218
11/30/1972,149.9624583,154.2063278,134.6210345,118.2071584,113.4475235,150.4345044,199.7692993
12/31/1972,150.8922255,151.3997727,131.565137,121.2805445,110.951678,146.9745108,209.7178104
1/31/1973,145.9278713,147.175719,135.0910827,121.7656667,111.9724334,147.0039057,217.4983412
2/28/1973,138.8503695,141.2739727,137.3876311,121.3516634,111.9612362,146.7098979,222.109306
3/31/1973,137.0453147,138.0105439,141.2070073,120.0532006,112.7785532,148.2210098,230.1496629
4/30/1973,129.2611409,133.8702276,149.241686,118.0963335,115.834852,151.9413572,244.9022563
5/31/1973,125.4608633,125.864788,149.5550935,120.4818794,113.7614081,148.2643763,262.2658263
6/30/1973,123.5036739,122.6678224,151.7086869,120.1565783,114.0116832,147.5971866,273.59571
7/31/1973,129.7406094,131.5735063,143.5922721,120.0364218,110.066879,148.1728157,241.6123715
8/31/1973,124.7845181,129.2709699,145.2148648,118.4039264,111.3876815,148.6914205,249.8755146
9/30/1973,130.7117827,133.8471622,148.3950703,115.6806361,113.4149373,157.2411772,232.3092659
10/31/1973,129.6268749,133.4857749,150.9919841,113.4364318,116.3523842,161.1407584,247.9669104
11/30/1973,113.0994484,123.7947076,157.1675562,110.3623045,118.09767,157.3861787,269.3664548
12/31/1973,113.789355,118.1001511,163.611426,107.2721599,120.8139164,161.5096966,297.3536294
1/31/1974,113.5959131,130.3943768,173.3953893,104.0432679,126.2022171,173.9782452,271.1270393
2/28/1974,113.0620123,130.6030078,177.8343113,102.0352329,129.5718163,181.929051,271.5066172
3/31/1974,109.8849698,134.0509272,177.6386935,104.9126264,130.0382748,181.6197716,268.8187017
4/30/1974,104.0720549,133.2064064,179.4683721,107.9131275,132.4309791,183.9263427,274.1950757
5/31/1974,99.20148269,128.9970839,175.7533768,113.3951144,132.417736,178.4085524,273.4821685
6/30/1974,96.39408073,128.9712845,177.1066778,114.0981641,136.4564769,175.2864028,279.9636959
7/31/1974,88.63435724,131.5378131,186.209961,110.378564,142.7061835,181.12344,288.3906032
8/31/1974,80.34704483,131.9324265,190.86521,110.0915797,146.3451912,184.7096841,297.0423212
9/30/1974,70.89019766,133.85864,201.34371,105.3796601,154.994192,186.1688906,309.8745495
10/31/1974,82.30351948,124.6893231,181.2294734,105.3480462,150.4373628,177.2514007,308.3251768
11/30/1974,78.59163075,122.8937969,180.9395063,101.7767474,154.875265,177.4818276,315.0466656
12/31/1974,75.88021949,117.5356273,180.9395063,101.1151986,159.877736,170.4712954,324.3405423
1/31/1975,86.24545747,132.5684341,196.2108006,100.2152733,158.5027875,195.1896332,279.2896409
2/28/1975,91.04070491,131.7067392,187.2635881,101.367749,155.1108279,195.6190504,277.7535479
3/31/1975,93.46238766,136.9486675,191.9264514,102.6145723,153.1719425,204.8522696,272.2262523
4/30/1975,97.41584666,136.1406703,189.7960678,104.0203919,151.1041213,200.7757094,275.8740841
5/31/1975,102.4717291,140.0751357,182.1662659,102.9281778,150.1823861,205.052232,274.5774759
6/30/1975,107.4211136,141.9241275,184.5708606,100.2314595,151.7893377,210.0350012,274.7422224
7/31/1975,100.3420622,146.7779326,187.7085652,100.6624548,153.5956308,211.6522708,275.8961397
8/31/1975,97.48231345,142.6828283,186.0191881,101.6992781,152.2286297,206.7207728,275.5374747
9/30/1975,93.3295669,142.7113649,186.6516534,102.2382843,152.9897728,203.7026496,276.4191947
10/31/1975,98.2853669,136.6746741,187.2116083,101.7679882,156.4626407,205.1489384,276.0322078
11/30/1975,100.8801006,135.2122551,190.9371193,101.1370266,159.1381518,209.6006703,274.7900629
12/31/1975,99.26601898,135.1716915,194.2785189,101.0156622,160.0929807,208.9299482,274.4603148
1/31/1976,111.3367669,143.7550939,210.9476159,99.09636462,163.8711751,228.2559684,286.7012448
2/29/1976,111.6930445,155.2123748,223.140388,96.53967841,170.1638282,239.3720341,287.7333693
3/31/1976,114.2843232,153.132529,223.0511319,96.17282763,172.0186139,240.2337734,288.2800627
4/30/1976,112.5814868,153.3469146,222.9173012,96.54790166,170.1264092,235.8374953,289.721463
5/31/1976,111.0728948,151.6294291,219.9747928,98.93263483,167.7106142,227.8190205,286.5345269
6/30/1976,115.5713471,149.9160166,221.4706214,98.34893229,169.2703229,231.6235981,285.3024285
7/31/1976,114.3347337,150.8454959,225.3242102,97.27692893,169.7612068,232.7585538,284.9600655
8/31/1976,113.6944592,147.7833323,227.1042715,96.82945505,168.7596157,233.2706226,282.537905
9/30/1976,116.0479345,147.9606723,226.4456691,97.78806666,166.8357561,232.0109612,283.215996
10/31/1976,113.2395744,148.1974094,226.1739343,97.57293291,166.3018817,228.4843946,281.8565592
11/30/1976,113.6472369,152.1394605,229.6117781,96.21666914,166.418293,231.2033589,290.0303994
12/31/1976,120.0683058,157.6164811,234.6861984,95.6201258,170.1294209,237.5383309,292.2636335
1/31/1977,115.2055394,166.9158534,244.6838305,95.11333913,173.4129187,239.6286683,303.8957261
2/28/1977,112.9705519,168.7686194,245.9072496,94.98969179,173.0834342,236.0582011,304.9593611
3/31/1977,111.4228554,170.9457346,248.4155036,94.68572477,172.9276591,233.9100715,306.453662
4/30/1977,111.5899897,171.9885036,257.0355215,92.74466742,174.8990344,234.4480646,319.3860065
5/31/1977,109.9719348,174.1899564,259.1946199,93.05072482,175.0914234,234.8700711,325.8056653
6/30/1977,115.151613,177.7956885,257.5357743,93.8695712,172.955308,242.6442705,331.5724255
7/31/1977,113.2055507,181.0315701,256.0163133,94.64868864,172.9726035,246.1868769,332.6003001
8/31/1977,111.2244536,182.642751,248.8734581,95.55731605,171.9001734,254.6310867,326.6800147
9/30/1977,110.9241475,185.4919779,247.6539782,96.73267104,170.4562119,256.2607257,333.409623
10/31/1977,106.0656699,188.2743576,251.9136266,96.44247302,169.6721133,253.3393534,332.9761905
11/30/1977,110.3082967,195.0898894,252.6945589,96.39425179,170.7749821,261.5728824,340.2683691
12/31/1977,110.6061291,198.2113276,251.759589,97.30035775,169.6649447,256.9430424,345.5765556
1/31/1978,103.9587007,203.5432123,260.0928314,95.67544178,172.2608184,260.6173279,343.0884044
2/28/1978,102.5240706,211.0132482,262.0695369,96.01987337,174.0523309,258.5063275,349.6070841
3/31/1978,105.4460067,218.862941,265.2143713,95.44375413,177.3245147,260.4192744,354.3967012
4/30/1978,113.755152,218.1844659,255.8257826,98.135268,174.9306337,265.6016179,357.4090731
5/31/1978,115.7572426,228.1336775,254.2396628,98.40023322,175.560384,265.2297756,367.5952317
6/30/1978,113.8009452,231.761003,255.7396768,96.98326986,175.5252719,265.5215284,377.8143792
7/31/1978,119.6161736,232.1086445,252.9009663,98.51560552,174.1561748,267.0350011,393.758146
8/31/1978,124.1017801,243.5516007,251.7376219,99.88497244,174.8876308,265.6731226,404.8621257
9/30/1978,122.3271246,242.8696562,256.4451154,99.20575463,178.0356081,263.8399781,392.2709136
10/31/1978,107.7579641,218.4612558,259.932769,99.37440441,179.8693749,263.7344421,359.3593839
11/30/1978,110.6782049,224.6874016,254.1622615,100.4575854,177.6929554,261.65094,379.1960219
12/31/1978,111.6521731,227.0915568,248.596108,102.4265541,175.2407927,262.3050673,390.7615006
1/31/1979,116.37506,235.8118725,254.2392397,99.86589024,177.9920731,260.2853183,385.916058
2/28/1979,112.2321079,237.1088378,257.2901105,98.72741909,179.8431907,262.7580288,381.8253478
3/31/1979,118.6068916,244.6014771,255.5662668,99.33952909,180.3467516,261.8120999,392.8219178
4/30/1979,118.5357275,250.4719126,258.2497126,100.3825941,180.7254798,260.7910327,396.0037753
5/31/1979,115.9160879,250.8476204,261.6586088,98.98727609,180.0929406,262.7469655,393.7465538
6/30/1979,120.3788573,253.3310119,265.5311562,97.39358094,179.2825224,255.6265227,396.9752755
7/31/1979,121.3659639,256.4723164,270.0451859,97.19879378,180.3402892,250.5139923,392.648245
8/31/1979,128.0775017,261.5248211,265.8594855,98.73453472,177.725355,246.230203,391.7451541
9/30/1979,127.0272662,260.818704,263.546508,99.74162698,178.685072,246.4271872,412.6643453
10/31/1979,116.7380576,251.7943769,258.6445429,100.7789399,179.1139161,250.0496668,421.4128294
11/30/1979,122.8201104,257.9381597,250.2385953,100.8897967,175.5316378,244.3985443,454.9572906
12/31/1979,125.0185904,269.1326758,245.2838711,100.2138351,173.7587683,243.5920291,476.7042491
1/31/1980,131.9071147,274.2461966,249.6989808,98.54026405,177.2513195,241.3266233,512.5047382
2/29/1980,130.2978479,270.1599283,251.2471144,98.64865834,182.6220345,241.133562,552.8901116
3/31/1980,113.4894256,251.3297813,248.583895,100.0100098,180.1748992,247.4030346,499.8679499
4/30/1980,117.9949558,253.8430791,251.2188843,97.91980062,181.1478437,247.1061509,497.7685045
5/31/1980,124.2014904,259.1737838,252.198638,98.223352,180.2964488,248.9841577,492.2432741
6/30/1980,128.002056,262.9836384,249.9540701,98.13495098,178.5836326,241.7885155,500.0699422
7/31/1980,136.3093895,273.3188954,234.2069637,102.0014681,174.1904752,237.8715416,501.920201
8/31/1980,138.7629585,284.9622803,228.0238998,104.1434989,172.7969514,234.232107,517.9314554
9/30/1980,141.8018673,286.6150616,217.101555,106.2576119,167.9413571,230.0627755,546.1069265
10/31/1980,143.3049671,293.2931925,211.1529724,108.032114,165.8924725,223.5519989,586.0819536
11/30/1980,157.0479134,283.321224,193.5216992,112.9259688,156.3702446,206.114943,675.4008433
12/31/1980,149.9493477,282.4429282,198.7080808,111.5143942,158.2154135,213.1434626,630.4866872
1/31/1981,142.3919006,291.9612548,212.2997135,107.5667846,165.097784,229.3423657,580.4260442
2/28/1981,143.2035344,290.5306447,214.3590207,107.7711615,168.8124841,235.282333,572.3581222
3/31/1981,148.3015803,299.4789885,215.7952261,105.2493163,167.9177779,238.9527374,576.5363365
4/30/1981,145.1724169,313.255022,220.6721983,106.1123607,169.9327913,245.6912046,571.0592413
5/31/1981,145.3321066,320.9297701,219.7233078,106.4625315,167.2138666,249.6222639,592.4739629
6/30/1981,141.9022689,317.8167513,230.9951135,105.0252873,171.6951982,252.0186376,557.5179991
7/31/1981,139.7169739,311.5557613,229.4705457,106.1595605,166.4756642,243.1727834,543.4685455
8/31/1981,129.880899,305.916602,240.5769202,105.8941616,168.9062089,246.2853951,537.3816978
9/30/1981,120.5684385,298.2992786,253.08692,105.8729827,173.6186921,259.01835,547.9681172
10/31/1981,126.5004057,304.9811825,242.4319607,109.3562038,168.8268162,246.300549,570.2704196
11/30/1981,130.7508193,300.7724421,247.0381679,109.4655601,169.8904252,247.7290922,568.7877165
12/31/1981,125.9784144,304.3516342,248.8662504,109.6735446,173.9847844,251.0982078,576.2957144
1/31/1982,121.8967138,300.7602849,256.7553105,108.0065067,177.6036679,267.193603,586.2656302
2/28/1982,114.7535663,301.873098,272.4173844,104.3558868,185.7201556,283.064903,615.5789117
3/31/1982,112.6076747,301.873098,282.7147616,102.853162,190.1217232,294.5007251,633.6153738
4/30/1982,116.2899456,305.3446386,274.8552912,104.4062448,189.8365407,289.4058625,631.0175508
5/31/1982,111.6499768,307.0545686,279.830172,105.3563416,189.6656878,294.0652969,647.1084983
6/30/1982,108.1999925,305.4885903,284.1395566,105.3879485,194.8245945,299.7113506,679.4639233
7/31/1982,104.7484127,308.3907319,284.565766,106.4734444,197.8248932,306.7845385,709.8359606
